Tema,Julgado em,Tese Firmada,Processo,Questão submetida a julgamento,Anotações NUGEPNAC 1,Informações Complementares,Repercussão Geral,Órgão Julgador,Situação do Tema,Ramo do direito,Subramos,Relator Atual,Tribunal de Origem,Trânsito em Julgado,Ref_Sum,Súmula Originada do Tema,Súmula Originária do PUIL,Data de Afetação,Delimitação do Julgado,Estado de Deduplicação,Número de Registro,RRC,Entendimento Anterior,Observação de Afetação,Audiência Pública,Data de Admissão,Data de teração da Tese Firmada,Data de Desafetação,Embargo de Divergência,Embargos de Declaração,Observação de Admissão,Observação de Desafetação,Observação de Recusa,Relator que Afetou o Processo,Referência,Processo STF,Vista MPF
26,,São inaplicáveis aos juros remuneratórios dos contratos de mútuo bancário as disposições do art. 591 c/c o art. 406 do CC/02.,REsp 1061530/RS,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
27,,"É admitida a revisão das taxas de juros remuneratórios em situações excepcionais, desde que caracterizada a relação de consumo e que a abusividade (capaz de colocar o consumidor em desvantagem exagerada (art. 51, §1 º, do CDC. fique cabalmente demonstrada, ante às peculiaridades do julgamento em concreto.",REsp 1061530/RS,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
28,,O reconhecimento da abusividade nos encargos exigidos no período da normalidade contratual (juros remuneratórios e capitalização) descaracteriza a mora.,REsp 1061530/RS,"Discussão acerca dos juros remuneratórios, da capitalização de juros e da mora em ações que digam respeito a contratos bancários.",Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
29,,A simples propositura da ação de revisão de contrato não inibe a caracterização da mora do autor.,REsp 1061530/RS,Discussão acerca da mora em ações que digam respeito a contratos bancários.,"Processos destacados de ofício pelo relator.
Observações do Ministro: ""Não descaracteriza a mora o ajuizamento isolado de ação revisional, nem mesmo quando o reconhecimento de abusividade incidir sobre os encargos inerentes ao período de inadimplência contratual"".","Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Interpretação / Revisão de Contrato, DIREITO CIVIL",NANCY ANDRIGHI,TJRS,,,380,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
30,,"Nos contratos bancários, nãoregidos por legislação específica, os juros moratórios poderão ser convencionados até o limite de 1% ao mês.",REsp 1061530/RS,"Discute matérias, quando ativadas em ações que digam respeito a contratos bancários: a) juros remuneratórios; b) capitalização de juros; c)mora; d) comissão de permanência; e) inscrição do nome do devedor em cadastros de proteção ao crédito; f) disposições de ofício no âmbito do julgamento da apelação acerca de questões não devolvidas ao tribunal.",Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Limitação de Juros, Juros de Mora - Legais / Contratuais, DIREITO CIVIL, Contratos Bancários",NANCY ANDRIGHI,TJRS,,,379,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
31,,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii. houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ; iii. houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz.
A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.",REsp 1061530/RS,Discussão acerca da mora e da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancário.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Antecipação de Tutela / Tutela Específica",NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
32,,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii. houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ; iii. houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz. A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.",REsp 1061530/RS,Discussão acerca da mora e da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Tutela Provisória",NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
33,,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii. houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ; iii. houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz. A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.",REsp 1061530/RS,Discussão acerca da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Antecipação de Tutela / Tutela Específica",NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
34,,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii. houver demonstração de que a cobrança indevida se funda na aparência do bom direito e em jurisprudência consolidada do STF ou STJ; iii. houver depósito da parcela incontroversa ou for prestada a caução fixada conforme o prudente arbítrio do juiz. A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.",REsp 1061530/RS,Discussão acerca da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Tutela Provisória",NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
35,,"A inscrição/manutenção do nome do devedor em cadastro de inadimplentes decidida na sentença ou no acórdão observará o que for decidido no mérito do processo. Caracterizada a mora, correta a inscrição/manutenção.",REsp 1061530/RS,Discussão acerca da mora e da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
36,,"Nos contratos bancários, é vedado ao julgador conhecer, de ofício, da abusividade das cláusulas.",REsp 1061530/RS,"Discute matérias, quando ativadas em ações que digam respeito a contratos bancários: a) juros remuneratórios; b) capitalização de juros; c)mora; d) comissão de permanência; e) inscrição do nome do devedor em cadastros de proteção ao crédito; f) disposições de ofício no âmbito do julgamento da apelação acerca de questões não devolvidas ao tribunal.",Processos destacados de ofício pelo relator. VER TEMA 940/STJ,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,381,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
37,10/12/2008,"Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dados utilizados para a negativação são oriundos do CCF do Banco Central ou de outros cadastros mantidos por entidade diversas.",REsp 1061134/RS,"Discussão sobre indenização por danos morais decorrente de inscrição do nome do devedor nos cadastros de restrição ao crédito com ausência de comunicação prévia, em especial nos casos onde o devedor já possua outras inscrições nos cadastros de devedores.",Processos destacados de ofício pelo relator.,,,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,05/05/2009,359,,,,"As questões de direito que serão analisadas neste julgamento são as seguintes: 1) a legitimidade passiva para as ações indenizatórias; 2) o dever de indenizar os danos morais pela falta de comunicação prévia; e 3) a repercussão da préexistência de outros registros negativos em nome do devedor no momento da fixação da indenização. Registrese que não serão atingidas pelo efeitos do §7º do art. 543-C do CPC a questão referente ao cancelamento das inscrições desabonadoras porque não prevista na decisão que instaurou o incidente de recurso repetitivo, e a questão da necessidade de a comunicação ser precedida de aviso de recebimento (AR), porque não discutida no recurso representativo.",Único,200801138376,Não,,,,,,,,,,,,NANCY ANDRIGHI,"Súmula 359/STJ - ""Cabe ao órgão mantenedor do Cadastro de Proteção ao Crédito a notificação do devedor antes de proceder à inscrição.""",,
38,10/12/2008,"Os órgãos mantenedores de cadastros possuem legitimidade passiva para as ações que buscam a reparação dos danos morais e materiais decorrentes da inscrição, sem prévia notificação, do nome de devedor em seus cadastros restritivos, inclusive quando os dados utilizados para a negativação são oriundos do CCF do Banco Central ou de outros cadastros mantidos por entidade diversas.",REsp 1061134/RS,"Discussão sobre indenização por danos morais decorrente de inscrição do nome do devedor nos cadastros de restrição ao crédito com ausência de comunicação prévia, em especial nos casos onde o devedor já possua outras inscrições nos cadastros de devedores.",Processos destacados de ofício pelo relator.,,,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,05/05/2009,359,,,,"""As questões de direito que serão analisadas neste julgamento são as seguintes: 1) a legitimidade passiva para as ações indenizatórias; 2) o dever de indenizar os danos morais pela falta de comunicação prévia; e 3) a repercussão da préexistência de outros registros negativos em nome do devedor no momento da fixação da indenização. Registrese que não serão atingidas pelo efeitos do §7º do art. 543-C do CPC a questão referente ao cancelamento das inscrições desabonadoras porque não prevista na decisão que instaurou o incidente de recurso repetitivo, e a questão da necessidade de a comunicação ser precedida de aviso de recebimento (AR), porque não discutida no recurso representativo.""",Único,200801138376,Não,,,,,,,,,,,,NANCY ANDRIGHI,Súmula 359/STJ. Cabe ao órgão mantenedor do Cadastro de Proteção ao Crédito a notificação do devedor antes de proceder à inscrição.,,
39,10/11/2010,"A mera existência de ação tendo por objeto a declaração de nulidade de registro imobiliário não é suficiente para se concluir pela ilegitimidade ativa daquele que, com base nesse mesmo registro, ajuíza ação reivindicatória.",REsp 990507/DF,"Questão referente à reivindicação e posse das terras que o Espólio de Anastácio Pereira Braga e Outros egam ser de sua propriedade e que hoje formam o Condomínio Porto Rico, em Santa Maria no Distrito Federal.","Processos destacados de ofício pelo relator.
O proprietário do imóvel registrado detém legitimidade para figurar no polo ativo das ações reivindicatórias, ainda que ajuizada ação tendente a invalidá-lo.",,,2ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Partes e Procuradores, Processo e Procedimento, Capacidade Processual",NANCY ANDRIGHI,TJDFT,,,,,,,Único,200702249963,Não,,,,,,,,,,,,NANCY ANDRIGHI,,,
